feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
Coro1b,Group,0.159,0.3543,DMSO,DESeq2,DMSO vs T4400,1.0822,0.1139,Coro1b
Coro1c,Group,0.0345,0.1352,T4400,DESeq2,DMSO vs T4400,0.9209,-0.1189,Coro1c
Coro2a,Group,0.3332,0.5538,T4400,DESeq2,DMSO vs T4400,0.8723,-0.1971,Coro2a
Coro2b,Group,0,0.0023,T4400,DESeq2,DMSO vs T4400,0.8453,-0.2424,Coro2b
Coro6,Group,0.4627,0.6668,DMSO,DESeq2,DMSO vs T4400,1.0626,0.0876,Coro6
Coro7,Group,0.3388,0.5598,T4400,DESeq2,DMSO vs T4400,0.9483,-0.0766,Coro7
Cort,Group,0.2104,0.4235,T4400,DESeq2,DMSO vs T4400,0.5536,-0.8532,Cort
Cotl1,Group,0.0001,0.0038,T4400,DESeq2,DMSO vs T4400,0.5613,-0.8332,Cotl1
Cox10,Group,0.784,0.8885,DMSO,DESeq2,DMSO vs T4400,1.0209,0.0299,Cox10
Cox11,Group,0.2044,0.4153,T4400,DESeq2,DMSO vs T4400,0.9306,-0.1037,Cox11
Cox14,Group,0.4037,0.6181,T4400,DESeq2,DMSO vs T4400,0.9588,-0.0607,Cox14
Cox15,Group,0.1252,0.3055,T4400,DESeq2,DMSO vs T4400,0.9126,-0.132,Cox15
Cox16,Group,0.0788,0.228,T4400,DESeq2,DMSO vs T4400,0.7581,-0.3996,Cox16
Cox17,Group,0.3542,0.5741,T4400,DESeq2,DMSO vs T4400,0.9392,-0.0904,Cox17
Cox18,Group,0.4267,0.6371,T4400,DESeq2,DMSO vs T4400,0.9444,-0.0825,Cox18
Cox19,Group,0.0019,0.0213,T4400,DESeq2,DMSO vs T4400,0.8743,-0.1938,Cox19
Cox20,Group,0.0836,0.2363,T4400,DESeq2,DMSO vs T4400,0.8832,-0.1792,Cox20
Cox4i1,Group,0.3102,0.5316,T4400,DESeq2,DMSO vs T4400,0.9535,-0.0687,Cox4i1
Cox5a,Group,0.021,0.0979,T4400,DESeq2,DMSO vs T4400,0.869,-0.2025,Cox5a
Cox5b,Group,0.001,0.0139,T4400,DESeq2,DMSO vs T4400,0.8358,-0.2588,Cox5b
Cox6a1,Group,0.0005,0.0093,T4400,DESeq2,DMSO vs T4400,0.8593,-0.2187,Cox6a1
Cox6a2,Group,0.4679,0.6708,T4400,DESeq2,DMSO vs T4400,0.9215,-0.1179,Cox6a2
Cox6b1,Group,0.0002,0.0062,T4400,DESeq2,DMSO vs T4400,0.843,-0.2463,Cox6b1
Cox6b2,Group,0.0282,0.119,T4400,DESeq2,DMSO vs T4400,0.3834,-1.3829,Cox6b2
Cox6c,Group,0.0063,0.0447,T4400,DESeq2,DMSO vs T4400,0.9086,-0.1382,Cox6c
Cox7a1,Group,0.5075,0.702,T4400,DESeq2,DMSO vs T4400,0.9079,-0.1394,Cox7a1
Cox7a2,Group,0.0161,0.0822,T4400,DESeq2,DMSO vs T4400,0.8795,-0.1852,Cox7a2
Cox7a2l,Group,0.9512,0.977,T4400,DESeq2,DMSO vs T4400,0.997,-0.0043,Cox7a2l
Cox7b,Group,0.0724,0.2162,T4400,DESeq2,DMSO vs T4400,0.8996,-0.1526,Cox7b
Cox7c,Group,0.0535,0.1796,T4400,DESeq2,DMSO vs T4400,0.9049,-0.1442,Cox7c
Cox8a,Group,0.3557,0.5755,T4400,DESeq2,DMSO vs T4400,0.9551,-0.0663,Cox8a
Cox8b,Group,0.5101,0.7038,T4400,DESeq2,DMSO vs T4400,0.8905,-0.1674,Cox8b
Cp,Group,0,0.0023,DMSO,DESeq2,DMSO vs T4400,1.7264,0.7878,Cp
Cpa1,Group,0.1038,0.2716,T4400,DESeq2,DMSO vs T4400,0.4238,-1.2387,Cpa1
Cpa4,Group,0.0104,0.0619,T4400,DESeq2,DMSO vs T4400,0.704,-0.5063,Cpa4
Cpa5,Group,0.2244,0.4397,T4400,DESeq2,DMSO vs T4400,0.3966,-1.3342,Cpa5
Cpa6,Group,0.8188,0.909,T4400,DESeq2,DMSO vs T4400,0.8911,-0.1663,Cpa6
Cpd,Group,0.0007,0.0111,DMSO,DESeq2,DMSO vs T4400,1.2268,0.2949,Cpd
Cpe,Group,0.0272,0.1163,DMSO,DESeq2,DMSO vs T4400,1.2747,0.3501,Cpe
Cpeb1,Group,0.0003,0.0066,DMSO,DESeq2,DMSO vs T4400,1.5513,0.6335,Cpeb1
Cpeb2,Group,0.0036,0.031,DMSO,DESeq2,DMSO vs T4400,1.458,0.544,Cpeb2
Cpeb3,Group,0.7963,0.8957,T4400,DESeq2,DMSO vs T4400,0.9783,-0.0317,Cpeb3
Cpeb4,Group,0.0481,0.168,DMSO,DESeq2,DMSO vs T4400,1.2828,0.3593,Cpeb4
Cped1,Group,0.0534,0.1793,DMSO,DESeq2,DMSO vs T4400,1.3554,0.4388,Cped1
Cplx2,Group,0.2618,0.4834,T4400,DESeq2,DMSO vs T4400,0.9204,-0.1196,Cplx2
Cplx3,Group,0.2565,0.4771,T4400,DESeq2,DMSO vs T4400,0.7632,-0.3898,Cplx3
Cpm,Group,0.4328,0.6418,T4400,DESeq2,DMSO vs T4400,0.7804,-0.3577,Cpm
Cpn1,Group,0.3977,0.6132,T4400,DESeq2,DMSO vs T4400,0.581,-0.7834,Cpn1
