feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
2610528A11Rik,Group,0.4188,0.6302,T4400,DESeq2,DMSO vs T4400,0.6721,-0.5733,2610528A11Rik
2700029M09Rik,Group,0.025,0.1097,T4400,DESeq2,DMSO vs T4400,0.8162,-0.2929,2700029M09Rik
2700038G22Rik,Group,0.0223,0.102,T4400,DESeq2,DMSO vs T4400,0.5821,-0.7808,2700038G22Rik
2700046G09Rik,Group,0.9707,0.9859,T4400,DESeq2,DMSO vs T4400,0.99,-0.0145,2700046G09Rik
2700049A03Rik,Group,0.5197,0.7119,T4400,DESeq2,DMSO vs T4400,0.9263,-0.1104,2700049A03Rik
2700054A10Rik,Group,0.942,0.9724,T4400,DESeq2,DMSO vs T4400,0.987,-0.0189,2700054A10Rik
2700060E02Rik,Group,0.3299,0.5509,T4400,DESeq2,DMSO vs T4400,0.9544,-0.0673,2700060E02Rik
2700062C07Rik,Group,0.6589,0.8085,DMSO,DESeq2,DMSO vs T4400,1.0321,0.0455,2700062C07Rik
2700069I18Rik,Group,0.0792,0.2284,T4400,DESeq2,DMSO vs T4400,0.6085,-0.7167,2700069I18Rik
2700070H01Rik,Group,0.553,0.7351,DMSO,DESeq2,DMSO vs T4400,1.1438,0.1938,2700070H01Rik
2700081O15Rik,Group,0.0396,0.1474,T4400,DESeq2,DMSO vs T4400,0.9145,-0.1289,2700081O15Rik
2700094K13Rik,Group,0.0006,0.0107,T4400,DESeq2,DMSO vs T4400,0.6636,-0.5917,2700094K13Rik
2700097O09Rik,Group,0.4279,0.6376,DMSO,DESeq2,DMSO vs T4400,1.0763,0.1061,2700097O09Rik
2700099C18Rik,Group,0.0013,0.0169,T4400,DESeq2,DMSO vs T4400,0.524,-0.9324,2700099C18Rik
2810001G20Rik,Group,0.1826,0.3871,T4400,DESeq2,DMSO vs T4400,0.8255,-0.2767,2810001G20Rik
2810002D19Rik,Group,0.7109,0.8417,DMSO,DESeq2,DMSO vs T4400,1.0382,0.0542,2810002D19Rik
2810004N23Rik,Group,0.4845,0.6832,T4400,DESeq2,DMSO vs T4400,0.9617,-0.0563,2810004N23Rik
2810006K23Rik,Group,0.1437,0.3323,T4400,DESeq2,DMSO vs T4400,0.9157,-0.1271,2810006K23Rik
2810013P06Rik,Group,0.2637,0.4852,DMSO,DESeq2,DMSO vs T4400,1.2276,0.2958,2810013P06Rik
2810021J22Rik,Group,0.5853,0.7598,DMSO,DESeq2,DMSO vs T4400,1.0412,0.0583,2810021J22Rik
2810025M15Rik,Group,0.0003,0.0064,T4400,DESeq2,DMSO vs T4400,0.7582,-0.3993,2810025M15Rik
2810029C07Rik,Group,0.2661,0.4878,T4400,DESeq2,DMSO vs T4400,0.7235,-0.467,2810029C07Rik
2810047C21Rik1,Group,0.961,0.9809,DMSO,DESeq2,DMSO vs T4400,1.0136,0.0195,2810047C21Rik1
2810403A07Rik,Group,0.9929,0.9962,T4400,DESeq2,DMSO vs T4400,0.9992,-0.0011,2810403A07Rik
2810403D21Rik,Group,0.1303,0.3129,DMSO,DESeq2,DMSO vs T4400,1.3284,0.4097,2810403D21Rik
2810408A11Rik,Group,0.2504,0.4699,T4400,DESeq2,DMSO vs T4400,0.8766,-0.19,2810408A11Rik
2810408I11Rik,Group,0.4769,0.6773,T4400,DESeq2,DMSO vs T4400,0.8784,-0.1871,2810408I11Rik
2810410L24Rik,Group,0.2213,0.436,T4400,DESeq2,DMSO vs T4400,0.7555,-0.4045,2810410L24Rik
2810417H13Rik,Group,0.0098,0.0593,T4400,DESeq2,DMSO vs T4400,0.4722,-1.0825,2810417H13Rik
2810428I15Rik,Group,0.3945,0.6102,DMSO,DESeq2,DMSO vs T4400,1.0525,0.0738,2810428I15Rik
2810433D01Rik,Group,0.5406,0.7259,DMSO,DESeq2,DMSO vs T4400,1.1388,0.1876,2810433D01Rik
2810454H06Rik,Group,0.4445,0.6514,DMSO,DESeq2,DMSO vs T4400,1.2314,0.3003,2810454H06Rik
2810468N07Rik,Group,0.0099,0.0597,T4400,DESeq2,DMSO vs T4400,0.566,-0.8211,2810468N07Rik
2810474O19Rik,Group,0.1229,0.3016,DMSO,DESeq2,DMSO vs T4400,1.1813,0.2404,2810474O19Rik
2900008C10Rik,Group,0.4267,0.6371,DMSO,DESeq2,DMSO vs T4400,1.2649,0.339,2900008C10Rik
2900011O08Rik,Group,0.3749,0.5929,T4400,DESeq2,DMSO vs T4400,0.6263,-0.6751,2900011O08Rik
2900026A02Rik,Group,0.0025,0.0252,T4400,DESeq2,DMSO vs T4400,0.8398,-0.2519,2900026A02Rik
2900041M22Rik,Group,0.6008,0.7706,T4400,DESeq2,DMSO vs T4400,0.9144,-0.1291,2900041M22Rik
2900057B20Rik,Group,0.0464,0.1636,T4400,DESeq2,DMSO vs T4400,0.5695,-0.8123,2900057B20Rik
2900076A07Rik,Group,0.8041,0.9009,DMSO,DESeq2,DMSO vs T4400,1.035,0.0496,2900076A07Rik
2900097C17Rik,Group,0.9261,0.9647,T4400,DESeq2,DMSO vs T4400,0.9922,-0.0112,2900097C17Rik
3000002C10Rik,Group,0.5746,0.7515,DMSO,DESeq2,DMSO vs T4400,1.0998,0.1372,3000002C10Rik
3010001F23Rik,Group,0.4535,0.6588,DMSO,DESeq2,DMSO vs T4400,1.1918,0.2531,3010001F23Rik
3010026O09Rik,Group,0.1327,0.3167,T4400,DESeq2,DMSO vs T4400,0.8842,-0.1776,3010026O09Rik
3110001I22Rik,Group,0.7998,0.8977,DMSO,DESeq2,DMSO vs T4400,1.0275,0.0391,3110001I22Rik
3110002H16Rik,Group,0.0204,0.0961,DMSO,DESeq2,DMSO vs T4400,1.1581,0.2117,3110002H16Rik
3110009E18Rik,Group,0.6185,0.7816,T4400,DESeq2,DMSO vs T4400,0.9472,-0.0783,3110009E18Rik
3110021A11Rik,Group,0.4689,0.6714,T4400,DESeq2,DMSO vs T4400,0.6248,-0.6785,3110021A11Rik
3110021N24Rik,Group,0.6122,0.7774,DMSO,DESeq2,DMSO vs T4400,1.0857,0.1187,3110021N24Rik
3110039I08Rik,Group,0.0284,0.1193,DMSO,DESeq2,DMSO vs T4400,1.3351,0.4169,3110039I08Rik
3110040N11Rik,Group,0.1511,0.3426,T4400,DESeq2,DMSO vs T4400,0.9089,-0.1379,3110040N11Rik
3110043O21Rik,Group,0.134,0.3186,DMSO,DESeq2,DMSO vs T4400,1.1016,0.1396,3110043O21Rik
3110045C21Rik,Group,0.0539,0.1805,DMSO,DESeq2,DMSO vs T4400,2.4626,1.3002,3110045C21Rik
3110052M02Rik,Group,0.5719,0.7492,DMSO,DESeq2,DMSO vs T4400,1.1768,0.2349,3110052M02Rik
3110056K07Rik,Group,0.9433,0.9732,T4400,DESeq2,DMSO vs T4400,0.9866,-0.0195,3110056K07Rik
3110057O12Rik,Group,0.0855,0.2398,DMSO,DESeq2,DMSO vs T4400,1.2369,0.3068,3110057O12Rik
3110062M04Rik,Group,0.9835,0.9914,T4400,DESeq2,DMSO vs T4400,0.998,-0.0029,3110062M04Rik
3110082I17Rik,Group,0.3819,0.5986,T4400,DESeq2,DMSO vs T4400,0.9293,-0.1059,3110082I17Rik
3200001D21Rik,Group,0.3997,0.6145,DMSO,DESeq2,DMSO vs T4400,1.23,0.2987,3200001D21Rik
3300002I08Rik,Group,0.4629,0.6668,DMSO,DESeq2,DMSO vs T4400,1.1539,0.2065,3300002I08Rik
3300002P13Rik,Group,0.6195,0.7825,T4400,DESeq2,DMSO vs T4400,0.8773,-0.1889,3300002P13Rik
3300005D01Rik,Group,0.0006,0.0101,DMSO,DESeq2,DMSO vs T4400,1.284,0.3606,3300005D01Rik
3425401B19Rik,Group,0.0014,0.0177,DMSO,DESeq2,DMSO vs T4400,1.6889,0.7561,3425401B19Rik
3632451O06Rik,Group,0.2812,0.5026,T4400,DESeq2,DMSO vs T4400,0.7131,-0.4878,3632451O06Rik
3830403N18Rik,Group,0.3595,0.5785,DMSO,DESeq2,DMSO vs T4400,1.0864,0.1196,3830403N18Rik
3830406C13Rik,Group,0.1439,0.3325,DMSO,DESeq2,DMSO vs T4400,1.1256,0.1707,3830406C13Rik
3830408C21Rik,Group,0.7991,0.8973,T4400,DESeq2,DMSO vs T4400,0.9413,-0.0873,3830408C21Rik
3830417A13Rik,Group,0.2399,0.4578,T4400,DESeq2,DMSO vs T4400,0.6765,-0.5639,3830417A13Rik
4631405J19Rik,Group,0.5969,0.7677,T4400,DESeq2,DMSO vs T4400,0.8172,-0.2913,4631405J19Rik
4632404H12Rik,Group,0.2746,0.4964,DMSO,DESeq2,DMSO vs T4400,1.2415,0.3121,4632404H12Rik
4632415L05Rik,Group,0.1595,0.3549,DMSO,DESeq2,DMSO vs T4400,1.1776,0.2359,4632415L05Rik
4632427E13Rik,Group,0.4375,0.6456,DMSO,DESeq2,DMSO vs T4400,1.3507,0.4337,4632427E13Rik
4632428C04Rik,Group,0.1093,0.2802,DMSO,DESeq2,DMSO vs T4400,1.6394,0.7132,4632428C04Rik
4632428N05Rik,Group,0.0014,0.0177,DMSO,DESeq2,DMSO vs T4400,1.472,0.5578,4632428N05Rik
4732471J01Rik,Group,0.6358,0.7953,DMSO,DESeq2,DMSO vs T4400,1.1682,0.2243,4732471J01Rik
4732491K20Rik,Group,0.1049,0.2732,DMSO,DESeq2,DMSO vs T4400,1.2626,0.3363,4732491K20Rik
4831440E17Rik,Group,0.7198,0.8478,T4400,DESeq2,DMSO vs T4400,0.8808,-0.1832,4831440E17Rik
4833415N18Rik,Group,0.1333,0.3174,DMSO,DESeq2,DMSO vs T4400,1.4188,0.5047,4833415N18Rik
4833417C18Rik,Group,0.224,0.4393,DMSO,DESeq2,DMSO vs T4400,1.4585,0.5445,4833417C18Rik
4833418N02Rik,Group,0.7652,0.8764,DMSO,DESeq2,DMSO vs T4400,1.0382,0.0541,4833418N02Rik
4833419F23Rik,Group,0.0049,0.0381,DMSO,DESeq2,DMSO vs T4400,1.8248,0.8677,4833419F23Rik
4833420G17Rik,Group,0.4822,0.6813,DMSO,DESeq2,DMSO vs T4400,1.0468,0.066,4833420G17Rik
4833422C13Rik,Group,0.1205,0.2981,T4400,DESeq2,DMSO vs T4400,0.696,-0.5228,4833422C13Rik
4833427G06Rik,Group,0.8875,0.9469,T4400,DESeq2,DMSO vs T4400,0.9847,-0.0223,4833427G06Rik
4833439L19Rik,Group,0.118,0.2942,T4400,DESeq2,DMSO vs T4400,0.9386,-0.0914,4833439L19Rik
4921507L20Rik,Group,0.5027,0.6987,DMSO,DESeq2,DMSO vs T4400,1.1627,0.2175,4921507L20Rik
4921524J17Rik,Group,0.8073,0.9025,T4400,DESeq2,DMSO vs T4400,0.9844,-0.0227,4921524J17Rik
4921525O09Rik,Group,0.6064,0.7738,T4400,DESeq2,DMSO vs T4400,0.9253,-0.112,4921525O09Rik
4921531C22Rik,Group,0.5297,0.7186,T4400,DESeq2,DMSO vs T4400,0.9072,-0.1405,4921531C22Rik
4921536K21Rik,Group,0.0714,0.2141,DMSO,DESeq2,DMSO vs T4400,1.2611,0.3347,4921536K21Rik
4930402H24Rik,Group,0.0761,0.2231,DMSO,DESeq2,DMSO vs T4400,1.0975,0.1342,4930402H24Rik
4930404I05Rik,Group,0.3712,0.5893,DMSO,DESeq2,DMSO vs T4400,1.2821,0.3585,4930404I05Rik
4930404N11Rik,Group,0.6439,0.8004,T4400,DESeq2,DMSO vs T4400,0.9637,-0.0534,4930404N11Rik
4930405A21Rik,Group,0.0542,0.1808,T4400,DESeq2,DMSO vs T4400,0.4724,-1.0818,4930405A21Rik
4930413G21Rik,Group,0.3752,0.5931,DMSO,DESeq2,DMSO vs T4400,1.0891,0.1232,4930413G21Rik
4930415O20Rik,Group,0.8394,0.9192,DMSO,DESeq2,DMSO vs T4400,1.0565,0.0793,4930415O20Rik
4930426L09Rik,Group,0.041,0.1505,T4400,DESeq2,DMSO vs T4400,0.5651,-0.8235,4930426L09Rik
4930427A07Rik,Group,0.0068,0.0468,T4400,DESeq2,DMSO vs T4400,0.6223,-0.6843,4930427A07Rik
4930429B21Rik,Group,0.1044,0.2724,T4400,DESeq2,DMSO vs T4400,0.6783,-0.5601,4930429B21Rik
4930429F24Rik,Group,0.8315,0.915,DMSO,DESeq2,DMSO vs T4400,1.0304,0.0431,4930429F24Rik
4930430F08Rik,Group,0.2789,0.5005,DMSO,DESeq2,DMSO vs T4400,1.1014,0.1394,4930430F08Rik
4930432K21Rik,Group,0.5839,0.7586,DMSO,DESeq2,DMSO vs T4400,1.09,0.1243,4930432K21Rik
4930447F24Rik,Group,0.2011,0.4112,T4400,DESeq2,DMSO vs T4400,0.8342,-0.2616,4930447F24Rik
4930451G09Rik,Group,0.874,0.9402,T4400,DESeq2,DMSO vs T4400,0.9585,-0.0611,4930451G09Rik
4930452B06Rik,Group,0.9381,0.9704,T4400,DESeq2,DMSO vs T4400,0.9713,-0.0419,4930452B06Rik
4930453N24Rik,Group,0.3909,0.6069,T4400,DESeq2,DMSO vs T4400,0.954,-0.0679,4930453N24Rik
4930473A02Rik,Group,0.5494,0.7321,DMSO,DESeq2,DMSO vs T4400,1.2238,0.2914,4930473A02Rik
4930480K23Rik,Group,0.5915,0.7639,T4400,DESeq2,DMSO vs T4400,0.8983,-0.1548,4930480K23Rik
4930486L24Rik,Group,0.5884,0.7622,DMSO,DESeq2,DMSO vs T4400,1.1189,0.162,4930486L24Rik
4930487H11Rik,Group,0.035,0.1364,DMSO,DESeq2,DMSO vs T4400,2.5146,1.3303,4930487H11Rik
4930503L19Rik,Group,0.5188,0.7114,DMSO,DESeq2,DMSO vs T4400,1.0684,0.0954,4930503L19Rik
4930506C21Rik,Group,0.3897,0.6055,DMSO,DESeq2,DMSO vs T4400,1.283,0.3595,4930506C21Rik
4930507D05Rik,Group,0.1421,0.3306,T4400,DESeq2,DMSO vs T4400,0.4333,-1.2065,4930507D05Rik
4930513N10Rik,Group,0.7062,0.8389,T4400,DESeq2,DMSO vs T4400,0.9249,-0.1126,4930513N10Rik
4930515G01Rik,Group,0.5548,0.7367,DMSO,DESeq2,DMSO vs T4400,1.1401,0.1891,4930515G01Rik
4930520O04Rik,Group,0.3635,0.5821,T4400,DESeq2,DMSO vs T4400,0.7594,-0.3971,4930520O04Rik
4930523C07Rik,Group,0.114,0.2877,T4400,DESeq2,DMSO vs T4400,0.8695,-0.2017,4930523C07Rik
4930526I15Rik,Group,0.9965,0.9978,T4400,DESeq2,DMSO vs T4400,0.9995,-0.0007,4930526I15Rik
4930528A17Rik,Group,0.7519,0.8685,T4400,DESeq2,DMSO vs T4400,0.8899,-0.1683,4930528A17Rik
4930538K18Rik,Group,0.742,0.8627,T4400,DESeq2,DMSO vs T4400,0.9092,-0.1373,4930538K18Rik
4930539J05Rik,Group,0.2185,0.4331,DMSO,DESeq2,DMSO vs T4400,1.2294,0.298,4930539J05Rik
4930549G23Rik,Group,0.6589,0.8085,DMSO,DESeq2,DMSO vs T4400,1.1754,0.2332,4930549G23Rik
4930550L24Rik,Group,0.4742,0.6754,T4400,DESeq2,DMSO vs T4400,0.8917,-0.1654,4930550L24Rik
4930556M19Rik,Group,0.0083,0.053,DMSO,DESeq2,DMSO vs T4400,1.4968,0.5819,4930556M19Rik
4930557K07Rik,Group,0.7111,0.8418,T4400,DESeq2,DMSO vs T4400,0.9,-0.1521,4930557K07Rik
4930558J18Rik,Group,0.0017,0.0199,T4400,DESeq2,DMSO vs T4400,0.3856,-1.375,4930558J18Rik
4930563E22Rik,Group,0.5244,0.7151,DMSO,DESeq2,DMSO vs T4400,1.1352,0.1829,4930563E22Rik
4930565N06Rik,Group,0.8738,0.9401,T4400,DESeq2,DMSO vs T4400,0.9186,-0.1225,4930565N06Rik
4930577N17Rik,Group,0.6473,0.8022,T4400,DESeq2,DMSO vs T4400,0.9053,-0.1435,4930577N17Rik
4930578M01Rik,Group,0.3244,0.5448,T4400,DESeq2,DMSO vs T4400,0.6801,-0.5562,4930578M01Rik
4930579G18Rik,Group,0.3138,0.5351,T4400,DESeq2,DMSO vs T4400,0.9185,-0.1227,4930579G18Rik
4930579G24Rik,Group,0.0085,0.0543,T4400,DESeq2,DMSO vs T4400,0.6941,-0.5267,4930579G24Rik
4930579K19Rik,Group,0.4864,0.6847,T4400,DESeq2,DMSO vs T4400,0.7487,-0.4176,4930579K19Rik
4930581F22Rik,Group,0.3737,0.5918,DMSO,DESeq2,DMSO vs T4400,1.1845,0.2442,4930581F22Rik
4931406C07Rik,Group,0.6028,0.7719,DMSO,DESeq2,DMSO vs T4400,1.0271,0.0385,4931406C07Rik
4931406P16Rik,Group,0.8497,0.9258,DMSO,DESeq2,DMSO vs T4400,1.0147,0.021,4931406P16Rik
4931414P19Rik,Group,0.0408,0.1502,T4400,DESeq2,DMSO vs T4400,0.8752,-0.1923,4931414P19Rik
4931428F04Rik,Group,0.1151,0.2894,T4400,DESeq2,DMSO vs T4400,0.8617,-0.2148,4931428F04Rik
4931431C16Rik,Group,0.07,0.2118,T4400,DESeq2,DMSO vs T4400,0.4686,-1.0935,4931431C16Rik
4931440P22Rik,Group,0.9709,0.9859,T4400,DESeq2,DMSO vs T4400,0.9887,-0.0164,4931440P22Rik
4932416H05Rik,Group,0.2066,0.4181,DMSO,DESeq2,DMSO vs T4400,1.1557,0.2088,4932416H05Rik
4932438A13Rik,Group,0.1243,0.3039,DMSO,DESeq2,DMSO vs T4400,1.2428,0.3136,4932438A13Rik
4932441J04Rik,Group,0.7537,0.8691,DMSO,DESeq2,DMSO vs T4400,1.1204,0.164,4932441J04Rik
4933402D24Rik,Group,0.5964,0.7672,T4400,DESeq2,DMSO vs T4400,0.819,-0.2881,4933402D24Rik
4933404O12Rik,Group,0.0003,0.0064,T4400,DESeq2,DMSO vs T4400,0.7368,-0.4407,4933404O12Rik
4933406C10Rik,Group,0.5359,0.7225,DMSO,DESeq2,DMSO vs T4400,1.286,0.3629,4933406C10Rik
4933407K13Rik,Group,0.4981,0.695,DMSO,DESeq2,DMSO vs T4400,1.0993,0.1366,4933407K13Rik
4933408B17Rik,Group,0.9517,0.9773,DMSO,DESeq2,DMSO vs T4400,1.0345,0.049,4933408B17Rik
4933411K16Rik,Group,0.5411,0.7264,DMSO,DESeq2,DMSO vs T4400,1.196,0.2582,4933411K16Rik
4933412E12Rik,Group,0.2558,0.4765,DMSO,DESeq2,DMSO vs T4400,1.0991,0.1363,4933412E12Rik
4933413J09Rik,Group,0.3238,0.5445,DMSO,DESeq2,DMSO vs T4400,1.3605,0.4441,4933413J09Rik
4933417D19Rik,Group,0.979,0.9893,T4400,DESeq2,DMSO vs T4400,0.9891,-0.0157,4933417D19Rik
4933417E11Rik,Group,0.0401,0.1488,DMSO,DESeq2,DMSO vs T4400,1.8834,0.9134,4933417E11Rik
4933421O10Rik,Group,0.9543,0.9781,T4400,DESeq2,DMSO vs T4400,0.9879,-0.0176,4933421O10Rik
4933427D14Rik,Group,0.581,0.7566,DMSO,DESeq2,DMSO vs T4400,1.0387,0.0548,4933427D14Rik
4933427E11Rik,Group,0.5634,0.7423,T4400,DESeq2,DMSO vs T4400,0.7881,-0.3436,4933427E11Rik
4933428G20Rik,Group,0.6448,0.8009,T4400,DESeq2,DMSO vs T4400,0.8595,-0.2185,4933428G20Rik
4933430I17Rik,Group,0.5454,0.729,T4400,DESeq2,DMSO vs T4400,0.8678,-0.2045,4933430I17Rik
4933431E20Rik,Group,0.1425,0.3311,DMSO,DESeq2,DMSO vs T4400,1.1463,0.197,4933431E20Rik
4933433G15Rik,Group,0.5551,0.7367,DMSO,DESeq2,DMSO vs T4400,1.4167,0.5025,4933433G15Rik
4933433H22Rik,Group,0.2911,0.5124,T4400,DESeq2,DMSO vs T4400,0.6889,-0.5375,4933433H22Rik
4933434E20Rik,Group,0.017,0.0853,DMSO,DESeq2,DMSO vs T4400,1.1433,0.1932,4933434E20Rik
4933439C10Rik,Group,0.8876,0.9469,T4400,DESeq2,DMSO vs T4400,0.9735,-0.0387,4933439C10Rik
5031414D18Rik,Group,0.5157,0.7083,DMSO,DESeq2,DMSO vs T4400,1.0897,0.1239,5031414D18Rik
5031425E22Rik,Group,0.1672,0.3659,DMSO,DESeq2,DMSO vs T4400,1.2012,0.2645,5031425E22Rik
5031434O11Rik,Group,0.3824,0.5989,DMSO,DESeq2,DMSO vs T4400,1.506,0.5907,5031434O11Rik
5031439G07Rik,Group,0.3567,0.5766,DMSO,DESeq2,DMSO vs T4400,1.0554,0.0779,5031439G07Rik
5033403F01Rik,Group,0.405,0.6194,T4400,DESeq2,DMSO vs T4400,0.7413,-0.4318,5033403F01Rik
5033406O09Rik,Group,0.8129,0.9064,T4400,DESeq2,DMSO vs T4400,0.851,-0.2328,5033406O09Rik
5330426P16Rik,Group,0.6152,0.7797,DMSO,DESeq2,DMSO vs T4400,1.04,0.0566,5330426P16Rik
5430405H02Rik,Group,0.7825,0.8877,DMSO,DESeq2,DMSO vs T4400,1.0643,0.09,5430405H02Rik
5430416N02Rik,Group,0.1285,0.3102,DMSO,DESeq2,DMSO vs T4400,1.2638,0.3378,5430416N02Rik
5430419D17Rik,Group,0.7804,0.8867,T4400,DESeq2,DMSO vs T4400,0.9093,-0.1371,5430419D17Rik
5430427O19Rik,Group,0.9943,0.9972,DMSO,DESeq2,DMSO vs T4400,1.0045,0.0065,5430427O19Rik
5430431A17Rik,Group,0.1983,0.4075,T4400,DESeq2,DMSO vs T4400,0.7724,-0.3725,5430431A17Rik
5530601H04Rik,Group,0.5085,0.703,DMSO,DESeq2,DMSO vs T4400,1.0422,0.0597,5530601H04Rik
5730405O15Rik,Group,0.1238,0.3031,DMSO,DESeq2,DMSO vs T4400,1.7057,0.7704,5730405O15Rik
5730408K05Rik,Group,0.0452,0.1609,T4400,DESeq2,DMSO vs T4400,0.4322,-1.2103,5730408K05Rik
5730409E04Rik,Group,0.2665,0.4883,DMSO,DESeq2,DMSO vs T4400,1.0777,0.1079,5730409E04Rik
5730420D15Rik,Group,0.3431,0.5644,DMSO,DESeq2,DMSO vs T4400,1.7843,0.8353,5730420D15Rik
5730455P16Rik,Group,0.849,0.9254,DMSO,DESeq2,DMSO vs T4400,1.0122,0.0174,5730455P16Rik
5730480H06Rik,Group,0.9638,0.9822,DMSO,DESeq2,DMSO vs T4400,1.0109,0.0156,5730480H06Rik
5730508B09Rik,Group,0.2441,0.4623,T4400,DESeq2,DMSO vs T4400,0.9048,-0.1443,5730508B09Rik
5730559C18Rik,Group,0.002,0.0216,T4400,DESeq2,DMSO vs T4400,0.6837,-0.5486,5730559C18Rik
5830411N06Rik,Group,0.1002,0.2657,T4400,DESeq2,DMSO vs T4400,0.6519,-0.6172,5830411N06Rik
5830415F09Rik,Group,0.9,0.9522,DMSO,DESeq2,DMSO vs T4400,1.0145,0.0208,5830415F09Rik
5830416P10Rik,Group,0.1568,0.3512,DMSO,DESeq2,DMSO vs T4400,1.7906,0.8405,5830416P10Rik
5830417I10Rik,Group,0.6854,0.8252,DMSO,DESeq2,DMSO vs T4400,1.019,0.0272,5830417I10Rik
5830418P13Rik,Group,0.5211,0.7128,T4400,DESeq2,DMSO vs T4400,0.7018,-0.5108,5830418P13Rik
5830432E09Rik,Group,0.0541,0.1807,DMSO,DESeq2,DMSO vs T4400,2.518,1.3323,5830432E09Rik
5830454E08Rik,Group,0.5263,0.7165,DMSO,DESeq2,DMSO vs T4400,1.3452,0.4278,5830454E08Rik
5830473C10Rik,Group,0.5142,0.7072,DMSO,DESeq2,DMSO vs T4400,1.3727,0.457,5830473C10Rik
5930430L01Rik,Group,0.0585,0.1894,T4400,DESeq2,DMSO vs T4400,0.8672,-0.2056,5930430L01Rik
6030419C18Rik,Group,0.0013,0.0167,T4400,DESeq2,DMSO vs T4400,0.734,-0.4461,6030419C18Rik
6030443J06Rik,Group,0.6738,0.8175,T4400,DESeq2,DMSO vs T4400,0.8828,-0.1798,6030443J06Rik
6030458C11Rik,Group,0.0063,0.0444,DMSO,DESeq2,DMSO vs T4400,1.1253,0.1703,6030458C11Rik
6230400D17Rik,Group,0.481,0.6805,DMSO,DESeq2,DMSO vs T4400,1.2499,0.3218,6230400D17Rik
6330403A02Rik,Group,0.3442,0.5652,T4400,DESeq2,DMSO vs T4400,0.5914,-0.7578,6330403A02Rik
6330408A02Rik,Group,0.547,0.7305,T4400,DESeq2,DMSO vs T4400,0.9592,-0.0602,6330408A02Rik
6330415G19Rik,Group,0.9133,0.9587,T4400,DESeq2,DMSO vs T4400,0.9622,-0.0556,6330415G19Rik
6330416G13Rik,Group,0.0042,0.0343,DMSO,DESeq2,DMSO vs T4400,1.3213,0.402,6330416G13Rik
6330418K02Rik,Group,0.7566,0.8711,DMSO,DESeq2,DMSO vs T4400,1.139,0.1877,6330418K02Rik
6330549D23Rik,Group,0.7525,0.8685,DMSO,DESeq2,DMSO vs T4400,1.1196,0.163,6330549D23Rik
6430531B16Rik,Group,0.5948,0.7662,DMSO,DESeq2,DMSO vs T4400,1.1965,0.2589,6430531B16Rik
6430548M08Rik,Group,0.0847,0.2387,DMSO,DESeq2,DMSO vs T4400,1.1551,0.208,6430548M08Rik
6430550D23Rik,Group,0.0713,0.214,DMSO,DESeq2,DMSO vs T4400,1.7759,0.8285,6430550D23Rik
6430562O15Rik,Group,0.7397,0.8614,T4400,DESeq2,DMSO vs T4400,0.8547,-0.2264,6430562O15Rik
6430571L13Rik,Group,0.9629,0.9818,T4400,DESeq2,DMSO vs T4400,0.9873,-0.0184,6430571L13Rik
6530402F18Rik,Group,0.0648,0.2024,DMSO,DESeq2,DMSO vs T4400,1.201,0.2642,6530402F18Rik
6720489N17Rik,Group,0.4547,0.6597,T4400,DESeq2,DMSO vs T4400,0.8047,-0.3135,6720489N17Rik
6820431F20Rik,Group,0.8701,0.9387,T4400,DESeq2,DMSO vs T4400,0.9841,-0.0231,6820431F20Rik
8030462N17Rik,Group,0.4093,0.6229,DMSO,DESeq2,DMSO vs T4400,1.0615,0.0862,8030462N17Rik
8430408G22Rik,Group,0.0415,0.1517,DMSO,DESeq2,DMSO vs T4400,1.331,0.4125,8430408G22Rik
8430419L09Rik,Group,0.1795,0.383,DMSO,DESeq2,DMSO vs T4400,1.0979,0.1348,8430419L09Rik
8430423G03Rik,Group,0.1676,0.3665,DMSO,DESeq2,DMSO vs T4400,1.4765,0.5622,8430423G03Rik
8430426J06Rik,Group,0.3303,0.5514,T4400,DESeq2,DMSO vs T4400,0.5154,-0.9562,8430426J06Rik
8430429K09Rik,Group,0.4995,0.6959,DMSO,DESeq2,DMSO vs T4400,1.1164,0.1589,8430429K09Rik
9030025P20Rik,Group,0.9614,0.9809,T4400,DESeq2,DMSO vs T4400,0.9943,-0.0082,9030025P20Rik
9030612E09Rik,Group,0.3653,0.5839,DMSO,DESeq2,DMSO vs T4400,1.4906,0.5759,9030612E09Rik
9030617O03Rik,Group,0.0067,0.0463,T4400,DESeq2,DMSO vs T4400,0.821,-0.2846,9030617O03Rik
9030624J02Rik,Group,0.1037,0.2713,DMSO,DESeq2,DMSO vs T4400,1.1079,0.1479,9030624J02Rik
9130008F23Rik,Group,0.1211,0.299,T4400,DESeq2,DMSO vs T4400,0.7919,-0.3367,9130008F23Rik
9130011E15Rik,Group,0.4857,0.6843,DMSO,DESeq2,DMSO vs T4400,1.0318,0.0451,9130011E15Rik
9130019O22Rik,Group,0.875,0.9408,T4400,DESeq2,DMSO vs T4400,0.9822,-0.0259,9130019O22Rik
9130019P16Rik,Group,0.0043,0.0351,T4400,DESeq2,DMSO vs T4400,0.5424,-0.8826,9130019P16Rik
9130023H24Rik,Group,0.3769,0.5943,DMSO,DESeq2,DMSO vs T4400,1.0677,0.0945,9130023H24Rik
